team,elo
Spain,2226.8
Argentina,2177.7
France,2156.2
England,2094.6
Brazil,2054.0
Colombia,2050.8
Netherlands,2044.8
Portugal,2036.5
Ecuador,2027.4
Germany,2025.5
Japan,2018.3
Morocco,2010.3
Croatia,2005.6
Norway,1999.2
Turkey,1984.6
Switzerland,1976.5
Uruguay,1963.3
Mexico,1949.6
Belgium,1945.5
Denmark,1937.2
Senegal,1930.2
Italy,1927.0
Paraguay,1926.4
Australia,1917.9
Austria,1909.9
Canada,1901.5
Iran,1887.7
South Korea,1884.2
Algeria,1867.0
United States,1863.4
Russia,1860.9
Nigeria,1860.2
Basque Country,1853.5
Uzbekistan,1850.1
Scotland,1848.6
Serbia,1840.8
Panama,1832.3
Poland,1821.0
Kosovo,1818.7
Ukraine,1818.5
Greece,1815.3
Ivory Coast,1814.6
Egypt,1803.9
Venezuela,1803.7
Sweden,1802.6
Czech Republic,1801.6
Chile,1800.8
Jersey,1798.9
Jordan,1785.1
Hungary,1782.7
Republic of Ireland,1781.3
Wales,1774.4
DR Congo,1774.0
Tunisia,1768.3
Slovenia,1761.4
Slovakia,1753.9
Peru,1752.4
Bolivia,1750.9
Iraq,1750.7
New Zealand,1747.6
Guernsey,1735.5
Catalonia,1732.2
Albania,1727.4
Costa Rica,1727.4
Cameroon,1720.2
Mali,1718.6
Georgia,1718.3
Isle of Man,1699.2
Occitania,1698.2
Saudi Arabia,1691.5
Israel,1689.7
Honduras,1687.8
Padania,1687.1
Bosnia and Herzegovina,1686.4
Northern Cyprus,1685.5
Northern Ireland,1682.8
Romania,1682.6
United Arab Emirates,1679.7
Jamaica,1671.5
Cape Verde,1668.8
Haiti,1666.1
Burkina Faso,1663.1
Isle of Wight,1660.0
South Africa,1660.0
North Macedonia,1654.0
Guatemala,1651.0
Iraqi Kurdistan,1648.8
Iceland,1647.0
Ynys Môn,1645.0
Ghana,1641.7
Andalusia,1633.5
Abkhazia,1625.9
Kernow,1621.3
Finland,1618.6
Kárpátalja,1611.4
Curaçao,1609.6
Oman,1602.3
County of Nice,1596.5
Rhodes,1594.9
Syria,1590.3
Palestine,1585.5
Suriname,1585.2
Panjab,1581.3
Belarus,1581.0
Qatar,1580.3
Corsica,1580.1
Angola,1578.3
New Caledonia,1571.6
Yorkshire,1571.0
Ellan Vannin,1570.9
Bulgaria,1570.2
Artsakh,1569.9
Réunion,1568.6
Guinea,1566.7
China PR,1561.4
Menorca,1557.8
Benin,1552.1
Chameria,1551.1
Cascadia,1549.4
Libya,1548.8
Arameans Suryoye,1546.9
Galicia,1543.7
Thailand,1543.6
Zanzibar,1538.0
Gabon,1537.2
Gambia,1534.4
Bahrain,1533.6
Canary Islands,1532.9
Zambia,1531.7
Maule Sur,1530.1
Trinidad and Tobago,1529.8
Madagascar,1529.1
Kazakhstan,1525.9
Silesia,1525.4
Asturias,1524.2
Uganda,1520.4
Surrey,1518.3
Parishes of Jersey,1517.6
Biafra,1515.8
Donetsk PR,1512.6
Elba Island,1510.7
Niger,1510.2
Brittany,1510.1
Mapuche,1509.1
Western Armenia,1506.7
Felvidék,1506.3
Tamil Eelam,1505.9
Guadeloupe,1505.6
Malaysia,1502.8
Montenegro,1501.4
Délvidék,1500.2
Shetland,1499.6
Indonesia,1499.1
United Koreans in Japan,1498.8
Crimea,1497.1
Saugeais,1494.7
West Papua,1493.5
Central Spain,1493.2
Western Sahara,1491.5
Sealand,1490.2
Madrid,1489.9
Nicaragua,1489.6
Faroe Islands,1489.2
Mozambique,1489.0
Székely Land,1488.3
Cilento,1486.0
Republic of St. Pauli,1485.2
Seborga,1484.5
Tahiti,1483.0
Matabeleland,1482.4
Yoruba Nation,1482.4
Togo,1480.9
Luhansk PR,1480.9
Vietnam,1480.7
North Korea,1479.7
Franconia,1476.9
North Vietnam,1476.4
Kuwait,1475.4
El Salvador,1474.5
South Ossetia,1474.0
Ryūkyū,1473.7
Sápmi,1472.1
Comoros,1470.0
Dominican Republic,1469.8
Kyrgyzstan,1469.3
Guyana,1468.2
Kenya,1467.1
Sierra Leone,1466.5
Somaliland,1466.5
Gozo,1466.3
Luxembourg,1466.2
South Yemen,1465.9
Åland Islands,1464.7
Rwanda,1462.7
Martinique,1462.1
Aymara,1460.8
Sudan,1460.4
Romani people,1459.0
Armenia,1455.7
Chechnya,1454.3
Zimbabwe,1453.0
Niue,1453.0
