date,home_team,away_team,elo_home_before,elo_away_before,elo_home_after,elo_away_after
1872-11-30,Scotland,England,1500.0,1500.0,1498.17,1501.83
1873-03-08,England,Scotland,1501.83,1498.17,1518.09,1481.91
1874-03-07,Scotland,England,1481.91,1518.09,1494.2,1505.8
1875-03-06,England,Scotland,1505.8,1494.2,1503.55,1496.45
1876-03-04,Scotland,England,1496.45,1503.55,1516.1,1483.9
1876-03-25,Scotland,Wales,1516.1,1500.0,1536.89,1479.21
1877-03-03,England,Scotland,1483.9,1536.89,1464.87,1555.92
1877-03-05,Wales,Scotland,1479.21,1555.92,1461.49,1573.65
1878-03-02,Scotland,England,1573.65,1464.87,1588.3,1450.22
1878-03-23,Scotland,Wales,1588.3,1461.49,1601.89,1447.89
1879-01-18,England,Wales,1450.22,1447.89,1461.1,1437.01
1879-04-05,England,Scotland,1461.1,1601.89,1477.17,1585.82
1879-04-07,Wales,Scotland,1437.01,1585.82,1420.81,1602.02
1880-03-13,Scotland,England,1602.02,1477.17,1608.87,1470.32
1880-03-15,Wales,England,1420.81,1470.32,1407.99,1483.14
1880-03-27,Scotland,Wales,1608.87,1407.99,1618.64,1398.22
1881-02-26,England,Wales,1483.14,1398.22,1465.6,1415.75
1881-03-12,England,Scotland,1465.6,1618.64,1447.38,1636.87
1881-03-14,Wales,Scotland,1415.75,1636.87,1401.83,1650.79
1882-02-18,Northern Ireland,England,1500.0,1447.38,1467.05,1480.33
1882-02-25,Wales,Northern Ireland,1401.83,1467.05,1428.55,1440.33
1882-03-11,Scotland,England,1650.79,1480.33,1662.02,1469.1
1882-03-13,Wales,England,1428.55,1469.1,1447.23,1450.42
1882-03-25,Scotland,Wales,1662.02,1447.23,1671.18,1438.07
1883-02-03,England,Wales,1450.42,1438.07,1471.47,1417.02
1883-02-24,England,Northern Ireland,1471.47,1440.33,1491.2,1420.6
1883-03-10,England,Scotland,1491.2,1671.18,1482.98,1679.4
1883-03-12,Wales,Scotland,1417.02,1679.4,1406.83,1689.59
1883-03-17,Northern Ireland,Wales,1420.6,1406.83,1418.28,1409.15
1884-01-26,Northern Ireland,Scotland,1418.28,1689.59,1404.29,1703.58
1884-02-09,Wales,Northern Ireland,1409.15,1404.29,1436.14,1377.3
1884-02-23,Northern Ireland,England,1377.3,1482.98,1350.39,1509.89
1884-03-15,Scotland,England,1703.58,1509.89,1709.9,1503.58
1884-03-17,Wales,England,1436.14,1503.58,1405.74,1533.97
1884-03-29,Scotland,Wales,1709.9,1405.74,1716.35,1399.29
1885-02-28,England,Northern Ireland,1533.97,1350.39,1547.2,1337.15
1885-03-14,England,Wales,1547.2,1399.29,1538.96,1407.53
1885-03-14,Scotland,Northern Ireland,1716.35,1337.15,1721.34,1332.17
1885-03-21,England,Scotland,1538.96,1721.34,1544.78,1715.52
1885-03-23,Wales,Scotland,1407.53,1715.52,1395.72,1727.34
1885-04-11,Northern Ireland,Wales,1332.17,1395.72,1301.41,1426.47
1885-11-28,United States,Canada,1500.0,1500.0,1485.37,1514.63
1886-02-27,Wales,Northern Ireland,1426.47,1301.41,1443.58,1284.3
1886-03-13,Northern Ireland,England,1284.3,1544.78,1269.62,1559.46
1886-03-20,Northern Ireland,Scotland,1269.62,1727.34,1264.03,1732.92
1886-03-27,Scotland,England,1732.92,1559.46,1723.85,1568.54
1886-03-29,Wales,England,1443.58,1568.54,1424.68,1587.44
1886-04-10,Scotland,Wales,1723.85,1424.68,1730.47,1418.07
1886-11-25,United States,Canada,1485.37,1514.63,1497.41,1502.59
1887-02-05,England,Northern Ireland,1587.44,1264.03,1594.12,1257.35
1887-02-19,Scotland,Northern Ireland,1730.47,1257.35,1733.1,1254.72
1887-02-26,England,Wales,1594.12,1418.07,1607.81,1404.37
1887-03-12,Northern Ireland,Wales,1254.72,1404.37,1290.54,1368.56
1887-03-19,England,Scotland,1607.81,1733.1,1595.22,1745.68
1887-03-21,Wales,Scotland,1368.56,1745.68,1362.22,1752.02
1888-02-04,England,Wales,1595.22,1362.22,1605.72,1351.72
1888-03-03,Wales,Northern Ireland,1351.72,1290.54,1373.82,1268.44
1888-03-10,Scotland,Wales,1752.02,1373.82,1757.03,1368.81
1888-03-17,Scotland,England,1757.03,1605.72,1708.32,1654.43
1888-03-24,Northern Ireland,Scotland,1268.44,1708.32,1262.31,1714.46
1888-04-07,Northern Ireland,England,1262.31,1654.43,1254.47,1662.27
