team,fifa_ranking,confederation,squad_size,average_age,total_market_value_eur,top5_player_value,median_player_value,avg_caps,avg_intl_goals,players_over_20m,players_over_50m,n_attackers,n_defenders,n_midfielders,n_goalkeepers
San Marino,210.0,UEFA,24,24.6,935000.0,50000.0,50000.0,19.457142857142856,0.4857142857142857,0,0,7,13,10,5
Andorra,172.0,UEFA,28,28.4,3520000.0,800000.0,800000.0,37.416666666666664,0.9166666666666666,0,0,10,13,9,4
Montenegro,82.0,UEFA,24,26.4,58130001.0,48000000.0,400000.0,15.68421052631579,1.4342105263157894,1,0,36,39,35,14
Guatemala,94.0,CONCACAF,21,25.1,5380000.0,3800000.0,300000.0,27.333333333333332,2.361111111111111,0,0,11,10,12,4
Uganda,88.0,CAF,28,27.9,8630000.0,3750000.0,275000.0,15.75,0.8166666666666667,0,0,24,19,17,9
Ethiopia,147.0,CAF,23,27.4,2780000.0,775000.0,300000.0,14.45,0.775,0,0,10,19,10,4
El Salvador,99.0,CONCACAF,22,25.4,8950000.0,9700000.0,237500.0,21.229166666666668,1.125,0,0,17,16,15,5
Fiji,155.0,OFC,26,28.1,2450000.0,0.0,0.0,11.517241379310345,1.3103448275862069,0,0,4,8,8,5
India,141.0,AFC,23,25.9,4280000.0,25000.0,25000.0,21.44,2.7,0,0,16,15,13,7
Indonesia,122.0,AFC,41,25.8,37799999.0,25200000.0,900000.0,15.194444444444445,1.6666666666666667,0,0,14,13,7,4
Tajikistan,100.0,AFC,24,26.1,7780000.0,3550000.0,300000.0,23.095238095238095,2.3333333333333335,0,0,15,10,13,6
Qatar,56.0,AFC,23,28.0,18000000.0,10650000.0,500000.0,42.490196078431374,5.529411764705882,0,0,16,22,12,4
Oman,78.0,AFC,22,28.4,6100000.0,250000.0,250000.0,26.857142857142858,1.9387755102040816,0,0,12,17,12,8
Bangladesh,180.0,AFC,29,25.7,8510000.0,5000000.0,5000000.0,18.05263157894737,1.0263157894736843,0,0,10,12,12,4
Dominican Republic,142.0,CONCACAF,23,24.6,18850000.0,15300000.0,250000.0,10.714285714285714,1.0238095238095237,0,0,12,17,11,7
Philippines,136.0,AFC,23,27.7,6180000.0,2800000.0,200000.0,14.971428571428572,1.2857142857142858,0,0,10,17,11,6
Nicaragua,131.0,CONCACAF,25,28.6,3100000.0,150000.0,150000.0,23.027027027027028,2.4324324324324325,0,0,9,13,11,5
Singapore,148.0,AFC,26,28.0,3880000.0,0.0,0.0,29.666666666666668,3.0,0,0,11,14,8,3
Chinese Taipei,174.0,AFC,28,26.6,2220000.0,950000.0,475000.0,12.66,1.52,0,0,12,17,18,5
Jordan,64.0,AFC,23,28.7,9350000.0,9750000.0,250000.0,22.53488372093023,2.558139534883721,0,0,15,16,9,5
Malaysia,121.0,AFC,28,28.4,7150000.0,5500000.0,900000.0,19.609756097560975,2.5609756097560976,0,0,12,15,10,6
Hong Kong,153.0,AFC,23,28.3,3880000.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Cambodia,179.0,AFC,23,25.5,2380000.0,0.0,0.0,15.416666666666666,1.0833333333333333,0,0,8,12,11,5
Myanmar,163.0,AFC,23,26.9,3150000.0,0.0,0.0,18.483870967741936,1.2258064516129032,0,0,11,11,6,5
Comoros,106.0,CAF,25,26.9,20200001.0,17000000.0,200000.0,14.909090909090908,1.3272727272727274,0,0,15,26,17,6
Laos,190.0,nan,24,22.7,1560000.0,200000.0,200000.0,8.093023255813954,0.4418604651162791,0,0,8,16,13,5
Puerto Rico,156.0,CONCACAF,23,23.1,1200000.0,410000.0,100000.0,13.848484848484848,2.212121212121212,0,0,12,9,8,4
Germany,10.0,UEFA,26,27.4,849500000.0,430000000.0,300000.0,9.044270833333334,1.375,34,9,322,461,435,230
England,4.0,UEFA,25,26.9,4930930000.0,570000000.0,300000.0,9.09651474530831,1.2412868632707774,82,20,444,604,459,165
Portugal,6.0,UEFA,23,27.3,838500000.0,420000000.0,250000.0,9.642857142857142,1.3903061224489797,30,6,323,427,370,134
Spain,1.0,UEFA,27,27.4,4839715000.0,610000000.0,300000.0,7.605150214592275,0.9592274678111588,59,14,569,735,589,265
Italy,13.0,UEFA,26,27.4,825000000.0,300000000.0,175000.0,7.915625,0.909375,32,5,433,650,566,338
France,3.0,UEFA,26,26.7,4968680000.0,620000000.0,300000.0,8.850107066381156,1.1584582441113491,68,20,482,645,560,200
Greece,46.0,UEFA,25,26.2,282899994.0,147000000.0,150000.0,9.041152263374485,0.8189300411522634,8,0,299,439,323,202
Netherlands,7.0,UEFA,22,26.8,797000000.0,350000000.0,250000.0,8.970674486803519,1.1378299120234605,42,6,362,507,426,246
Scotland,38.0,UEFA,26,28.8,211000000.0,115000000.0,200000.0,9.413461538461538,0.8653846153846154,2,0,246,301,349,106
Turkiye,25.0,UEFA,33,27.1,512700012.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Belgium,9.0,UEFA,24,27.3,450200012.0,212000000.0,200000.0,9.591772151898734,1.259493670886076,22,1,259,368,352,182
Austria,24.0,UEFA,28,28.2,254600006.0,129000000.0,400000.0,9.042145593869732,0.9272030651340997,6,0,88,131,134,64
Switzerland,18.0,UEFA,26,27.9,308100006.0,165000000.0,500000.0,10.085501858736059,1.0185873605947955,5,0,87,138,117,49
Bulgaria,87.0,UEFA,26,25.4,44099998.0,29000000.0,387500.0,13.65625,0.796875,0,0,33,40,27,13
Australia,27.0,AFC,25,27.1,46029999.0,34000000.0,300000.0,7.216216216216216,0.7736486486486487,0,0,136,152,122,57
Japan,19.0,AFC,28,26.4,265500000.0,120000000.0,450000.0,7.427937915742794,1.0,5,0,199,262,310,110
Denmark,21.0,UEFA,25,26.3,352000000.0,190000000.0,200000.0,8.201612903225806,0.967741935483871,8,1,292,401,347,152
Argentina,2.0,CONMEBOL,28,28.4,712200012.0,410000000.0,425000.0,8.205567451820128,1.0877944325481799,23,6,521,524,529,143
Serbia,39.0,UEFA,28,26.8,276299988.0,163000000.0,350000.0,7.020881670533643,0.617169373549884,9,0,239,287,256,108
Brazil,5.0,CONMEBOL,26,27.9,924000000.0,460000000.0,450000.0,6.260038240917782,0.8891013384321224,55,10,820,888,699,251
Norway,32.0,UEFA,28,26.2,522900024.0,372000000.0,500000.0,7.224550898203593,0.8173652694610778,9,2,146,198,152,51
Ghana,72.0,CAF,26,26.9,211779999.0,180000000.0,300000.0,9.774193548387096,1.1693548387096775,3,2,143,96,125,9
Poland,34.0,UEFA,25,27.9,163350006.0,106000000.0,300000.0,7.542199488491049,0.9053708439897699,4,0,119,166,230,121
Finland,75.0,UEFA,24,26.0,51500000.0,23500000.0,337500.0,19.458333333333332,1.9027777777777777,0,0,33,39,38,14
Nigeria,26.0,CAF,23,27.6,229580002.0,191000000.0,300000.0,12.694444444444445,1.3819444444444444,7,1,266,94,128,19
Czech Republic,43.0,UEFA,25,28.0,171500000.0,90000000.0,300000.0,7.49873417721519,0.7367088607594937,3,0,117,172,199,81
Bosnia-Herzegovina,71.0,UEFA,25,26.9,117800003.0,84000000.0,350000.0,11.706766917293233,1.2706766917293233,2,0,58,80,80,23
Romania,49.0,UEFA,28,27.5,120099998.0,64000000.0,300000.0,6.8125,0.5922619047619048,1,0,161,178,137,75
Russia,36.0,UEFA,40,26.0,270750000.0,100000000.0,150000.0,5.734513274336283,0.7374631268436578,3,0,365,494,488,246
Uruguay,17.0,CONMEBOL,36,26.2,407329987.0,222000000.0,800000.0,12.248618784530386,1.591160220994475,7,1,120,112,90,19
Belarus,98.0,UEFA,24,26.3,15100000.0,5200000.0,200000.0,13.816666666666666,0.8833333333333333,0,0,26,38,37,18
Hungary,41.0,UEFA,24,26.6,204000000.0,171000000.0,300000.0,16.253968253968253,1.4285714285714286,2,1,39,35,40,19
Senegal,12.0,CAF,31,26.9,476700012.0,200000000.0,300000.0,11.775193798449612,1.4108527131782946,11,1,157,123,101,29
Slovakia,44.0,UEFA,28,28.7,133850006.0,76000000.0,300000.0,14.642201834862385,1.073394495412844,1,0,44,56,52,34
Venezuela,50.0,CONMEBOL,36,25.2,71750000.0,45500000.0,400000.0,16.336734693877553,1.2653061224489797,0,0,54,43,36,10
United States,15.0,CONCACAF,27,26.3,358700012.0,165000000.0,500000.0,8.270114942528735,0.9683908045977011,12,1,126,211,171,91
Republic of Ireland,59.0,UEFA,25,27.2,184149994.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
Canada,29.0,CONCACAF,26,26.4,121080002.0,129000000.0,300000.0,16.040816326530614,1.9795918367346939,3,0,38,38,38,22
Latvia,139.0,UEFA,27,26.7,17950001.0,12200000.0,300000.0,23.694444444444443,1.4722222222222223,0,0,16,17,12,5
Croatia,11.0,UEFA,26,28.2,255300003.0,219000000.0,400000.0,10.285714285714286,1.0559006211180124,5,2,132,208,149,76
Sweden,42.0,UEFA,26,26.3,377779999.0,280000000.0,400000.0,7.036723163841808,0.7146892655367232,10,2,189,207,191,72
Iraq,58.0,AFC,28,26.4,18830000.0,8800000.0,350000.0,22.381818181818183,1.981818181818182,0,0,19,19,20,5
